smiles,template,compound_set,hit1,hit2,hit3,hit4
COC(=O)C(O)c1cccc2nc[nH]c12,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0693a,,
COC(=O)C(O)c1cccc2nc[nH]c12,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0693a/d0693a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0693a,,
C=CCCS(=O)(=O)NCC1CCCCNC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0176a,,
C=CCCS(=O)(=O)NCC1CCCCNC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0176a/d0176a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0176a,,
CCS(=O)(=O)NCC1CCCN(Cc2cccc3ccccc23)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0787a,,
CCS(=O)(=O)NCC1CCCN(Cc2cccc3ccccc23)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0787a/d0787a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0787a,,
CC(C)(CO)NC(=O)c1csc(-c2ccsc2)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0248a/d0248a.pdb,kntiwork_primer_thumb_site_2_impure,d0248a,d0376a,,
CC(C)(CO)NC(=O)c1csc(-c2ccsc2)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0376a/d0376a.pdb,kntiwork_primer_thumb_site_2_impure,d0248a,d0376a,,
CC(C)(CO)NC(=O)c1cscc1OCc1ccccc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0248a/d0248a.pdb,kntiwork_primer_thumb_site_2_impure,d0248a,d0376a,,
CC(C)(CO)NC(=O)c1cscc1OCc1ccccc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0376a/d0376a.pdb,kntiwork_primer_thumb_site_2_impure,d0248a,d0376a,,
CC(C)(C)C(=O)C(O)c1ccncn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_impure,d0174a,d0587a,,
