smiles,template,compound_set,hit1,hit2,hit3
CCNCCc1ccon1,z0521a,knitwork_green_site_impure,z0496a,z0521a,
O=C1C=C(c2nccs2)CCC1,z0496a,knitwork_green_site_impure,z0496a,z1018a,
O=C1CCCCC(c2cscn2)C1,z0496a,knitwork_green_site_impure,z0496a,z1018a,
O=C1CCCC(c2nccs2)C1,z0496a,knitwork_green_site_impure,z0496a,z1018a,
O=C1C=C(c2cscn2)CCC1,z0496a,knitwork_green_site_impure,z0496a,z1018a,
O=C1CCCC(c2cncs2)C1,z0496a,knitwork_green_site_impure,z0496a,z1018a,
N#Cc1cnc(-c2cc[nH]n2)n1-c1cc[nH]n1,d0378a,knitwork_green_site_impure,d0378a,z0653a,
O=C1CCCCC(c2cncs2)C1,z0496a,knitwork_green_site_impure,z0496a,z1018a,
O=C1CCCCC(c2nccs2)C1,z0496a,knitwork_green_site_impure,z0496a,z1018a,
O=C1CCCC(c2cscn2)C1,z0496a,knitwork_green_site_impure,z0496a,z1018a,
CC(NCc1cnsc1)c1coc2ccccc12,3vws-b,knitwork_green_site_impure,d0472b,3vws-b,
CC(NC(c1nccs1)C1CC1)c1coc2ccccc12,3vws-b,knitwork_green_site_impure,d0472b,3vws-b,
CC(NCc1cnsc1)c1coc2c(F)cccc12,3vws-b,knitwork_green_site_impure,d0472b,3vws-b,
O=C(Cc1coc2cc(Cl)ccc12)NCCc1cc[nH]n1,z0628a,knitwork_green_site_impure,z0628a,3vws-b,3vws-a
c1cncc(-c2cc3ccccc3[nH]2)c1,z0386a,knitwork_green_site_impure,z0041a,z0386a,
c1ccc(-c2cc3ccccc3[nH]2)nc1,z0386a,knitwork_green_site_impure,z0041a,z0386a,
CC(C)(C(=O)O)n1cc(NC(=O)CCc2ccccn2)cn1,z0653a,knitwork_green_site_impure,d0472b,z0653a,
O=S(=O)(NCc1noc2ccccc12)c1coc2ccccc12,z0111a,knitwork_green_site_impure,z0111a,3vws-b,
O=C(Cc1cc2ccccc2o1)NCc1nsc2ccccc12,z0111a,knitwork_green_site_impure,z0111a,3vws-b,
