smiles,hit0,hit1
[H]c1c([H])c(C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c(F)c2c1O[C@]1(O2)C(=O)N(C([H])([H])[H])C([H])([H])C1([H])[H],d0174a,d0566a
[H]c1c2c(c(S(=O)(=O)N([H])C([H])([H])[H])c([H])c1C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])OC([H])([H])O2,d0174a,d0567a
[H]c1c(Cl)c2c(c([H])c1C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])O[C@]1(OC([H])([H])C([H])([H])[C@]1([H])C([H])([H])[H])N2C([H])([H])[H],d0174a,d0587a
[H]C1=C(F)C([H])=c2c3c(c([H])c([H])c2=C([H])N1N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])O[C@@]1(O3)C([H])([H])C([H])([H])N([H])[C@@]1([H])C([H])([H])[H],d0174a,d0615a
[H]ON1c2c([H])c([H])c([C@]([H])(O[H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c([H])c2OC12C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H],d0174a,d0644a
[H]N1C([H])([H])C2=C(OC3(O2)C([H])([H])C([H])([H])[C@@]([H])(C#N)C3([H])[H])C1([H])[H],d0174a,d0693a
[H]c1c([H])c(C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c(C([H])([H])N(C([H])([H])[H])S(=O)(=O)N([H])[H])c2c1OC([H])([H])O2,d0174a,d0749a
[H]c1c([H])c(C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c([H])c2c1N(C([H])([H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])O2,d0174a,d0771a
[H]c1c([H])c(C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c([H])c2c1O[C@@]([H])(C(=O)N1C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C1([H])[H])O2,d0174a,d0787a
[H]ON1C2=C(OC1([H])[H])C([H])([H])C([H])([H])[C@]1(C2([H])[H])C([H])([H])C2=C(C([H])([H])C1([H])[H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])S2(=O)=O,d0174a,d0843a
[H]Oc1c([H])c(C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c([H])c2:C(N([H])[H]):C(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H]):O:c12,d0174a,d1149a
[H]c1c([H])c([H])c(N([H])C([H])([H])[C@]2([H])Oc3c([H])c([H])c(C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c([H])c3O2)c([H])c1[H],d0174a,d1212a
[H]c1nc(C([H])([H])[H])n(C([H])([H])c2c([H])c([H])c([H])c(C#N)c2[H])c1C([H])([H])N([H])[C@@]([H])(C([H])([H])[H])S(=O)(=O)N([H])C([H])([H])c1c([H])c([H])c2c(c1[H])OC([H])([H])O2,d0174a,z0375a
[H]c1nc2c(c([H])c1[H])[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]1(C(=O)C([H])([H])[H])C([H])([H])[C@@]2([H])N([H])[C@]([H])(C([H])([H])[H])S(=O)(=O)N([H])C([H])([H])c1c([H])c([H])c2c(c1[H])OC([H])([H])O2,d0174a,z0659a
[H]c1c([H])c(C([H])([H])N(c2c([H])c3c(c([H])c2Br)C(=O)OC(C([H])([H])[H])(C([H])([H])[H])O3)S(=O)(=O)C([H])([H])C([H])([H])[H])c([H])c2c1OC([H])([H])O2,d0174a,z0922b
[H]OC(=O)C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])[C@@H]1C([H])C([H])[C@H]([H])N[S@H](NC([H])=O)[C@H]1[H],d0174a,5hmx-a
[H]OC(=O)C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])[C@]1([H])C([H])([H])C([H])([H])C([H])([H])N([H])S(=O)(=O)C1([H])[H],d0174a,5hmw-a
[H]c1c([H])c(F)c(C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@]([H])(S(=O)(=O)N([H])C([H])([H])[H])[C@]([H])(Cl)C2([H])[H])c(F)c1[H],d0176a,d0153b
[H]O[C@]1([H])[C@]([H])(F)[C@@]([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])[C@]([H])(F)[C@@]([H])(N([H])C([H])([H])[H])[C@]12C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])Cl,d0176a,d0153a
[H]O[C@]1([H])N(C(=O)[C@]2([H])[C@@]([H])(F)C([H])([H])[C@]3(N([H])[C@]([H])(N([H])[H])SC3([H])[H])C([H])([H])[C@@]2([H])F)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],d0176a,d0162a
[H]ON1N2C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])C([H])([H])[C@@]2([H])O[C@]12[C@@]([H])(F)C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])F,d0176a,d0174a
[H]c1c(F)c(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(F)c([H])c1S(=O)(=O)N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],d0176a,d0210a
[H]OC([H])([H])C(N([H])C(=O)[C@]1([H])C([H])([H])C([H])([H])N(C(=O)c2c(F)c([H])c([H])c([H])c2F)C([H])([H])C([H])([H])C1([H])[H])(C([H])([H])[H])C([H])([H])[H],d0176a,d0248a
[H]c1c([H])c(N([H])C(=O)C([H])([H])[H])c(F)c(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1F,d0176a,d0249a
[H]C1C(F)C(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(F)C2([H])[H])C(F)[C@@H](O)C1[H],d0176a,d0258a
