compound_id,smiles,amount
77395,CCC(CC)Nc1ccc(Cl)c2ncccc12,1.0
77396,CCC(C)CNc1ccc(Cl)c2ncccc12,1.0
77397,CC(Nc1ccc(Cl)c2ncccc12)C(=O)O,1.0
77398,CC(C)(C)CNc1ccc(Cl)c2ncccc12,1.0
77399,CC(C)C(C)Nc1ccc(Cl)c2ncccc12,1.0
77400,CC(N)C(=O)Nc1ccc(Cl)c2ncccc12,1.0
77401,CCCCCNc1ccc(Cl)c2ncccc12,1.0
77402,NCCC(=O)Nc1ccc(Cl)c2ncccc12,1.0
77403,CC(C)CCNc1ccc(Cl)c2ncccc12,1.0
77404,C=CCCCNc1ccc(Cl)c2ncccc12,1.0
77405,CNCC(=O)Nc1ccc(Cl)c2ncccc12,1.0
77406,CSCCCNc1ccc(Cl)c2ncccc12,1.0
77407,CC(Nc1ccc(Cl)c2ncccc12)C(F)F,1.0
77408,COC(=O)c1cc(=O)c2c(N)ccc(Cl)c2[nH]1,1.0
77409,Clc1ccc(NCC2CCC2)c2cccnc12,1.0
77410,CC(F)(F)CNc1ccc(Cl)c2ncccc12,1.0
77411,CN(C)CCNc1ccc(Cl)c2ncccc12,1.0
77412,OCC(CO)Nc1ccc(Cl)c2ncccc12,1.0
