smiles,template,compound_set,hit1,hit2,hit3
O=c1ccc(-c2cccnc2)nn1Cc1nsc2ccccc12,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,kntiwork_primer_thumb_site_2_pure,d0379a,d0615a,
O=c1ccc(-c2cccnc2)nn1Cc1cccnn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,kntiwork_primer_thumb_site_2_pure,d0379a,d0615a,
CCOC(=O)Cn1nc(-c2cccnc2)ccc1=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0379a/d0379a.pdb,kntiwork_primer_thumb_site_2_pure,d0379a,d0615a,
CCOC(=O)Cn1nc(-c2cccnc2)ccc1=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,kntiwork_primer_thumb_site_2_pure,d0379a,d0615a,
CCS(=O)(=O)NCc1nc2cc(C)c(C)cc2[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0693a,
CCS(=O)(=O)NCc1nc2cc(C)c(C)cc2[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0693a/d0693a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0693a,
CCS(=O)(=O)NCc1nc2cc(Cl)ccc2[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0693a,
CCS(=O)(=O)NCc1nc2cc(Cl)ccc2[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0693a/d0693a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0693a,
CCS(=O)(=O)NCc1nc2ccc(OC)cc2[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0693a,
CCS(=O)(=O)NCc1nc2ccc(OC)cc2[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0693a/d0693a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0693a,
Cc1cnc(CC(=O)NCc2ccc(=O)[nH]n2)s1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0379a/d0379a.pdb,kntiwork_primer_thumb_site_2_pure,d0379a,d0615a,
Cc1cnc(CC(=O)NCc2ccc(=O)[nH]n2)s1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,kntiwork_primer_thumb_site_2_pure,d0379a,d0615a,
O=C(O)c1csc(-c2ccc(=O)[nH]n2)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0379a/d0379a.pdb,kntiwork_primer_thumb_site_2_pure,d0379a,d0615a,
O=C(O)c1csc(-c2ccc(=O)[nH]n2)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,kntiwork_primer_thumb_site_2_pure,d0379a,d0615a,
NCc1csc(-c2ccc(=O)[nH]n2)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0379a/d0379a.pdb,kntiwork_primer_thumb_site_2_pure,d0379a,d0615a,
NCc1csc(-c2ccc(=O)[nH]n2)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,kntiwork_primer_thumb_site_2_pure,d0379a,d0615a,
CC(C)(CO)NC(=O)c1cnc(-c2ccc(Cl)s2)s1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0248a/d0248a.pdb,kntiwork_primer_thumb_site_2_pure,d0248a,d0376a,d0615a
CC(C)(CO)NC(=O)c1cnc(-c2ccc(Cl)s2)s1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,kntiwork_primer_thumb_site_2_pure,d0248a,d0615a,
CCS(=O)(=O)NCc1ccc(C=CC(=O)O)s1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0376a,
CCS(=O)(=O)NCc1ccc(C=CC(=O)O)s1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0376a/d0376a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0376a,
CCS(=O)(=O)NCc1cn(CCCn2cncn2)nn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0376a,
CCS(=O)(=O)NCc1cn(CCCn2cncn2)nn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0376a/d0376a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0376a,
CCCc1noc(-c2cccc(CNS(=O)(=O)CC)c2)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0376a,
CCCc1noc(-c2cccc(CNS(=O)(=O)CC)c2)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0376a/d0376a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0376a,
CN1C(C(=O)NC(C)(C)CO)=CC(c2cccs2)=NS1(=O)=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0248a/d0248a.pdb,kntiwork_primer_thumb_site_2_pure,d0248a,d0376a,
CN1C(C(=O)NC(C)(C)CO)=CC(c2cccs2)=NS1(=O)=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0376a/d0376a.pdb,kntiwork_primer_thumb_site_2_pure,d0248a,d0376a,
O=S(=O)(CCc1cnoc1)NC(c1cccnc1)C1CC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,d0615a
O=S(=O)(CCc1cnoc1)NC(c1cccnc1)C1CC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0615a,
O=S(=O)(CCc1cnoc1)NC(c1ccccc1)c1cccnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0279a,d0615a
O=S(=O)(CCc1cnoc1)NC(c1ccccc1)c1cccnc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0615a,
CCS(=O)(=O)N(C)C1CCN(C(=O)Cc2cccnc2)CC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0615a,
CCS(=O)(=O)NCc1ccc(C(=O)N(C)c2cccnc2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0615a,
O=S(=O)(CCC1CCOCC1)NC(c1cccnc1)C1CC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0615a,
O=S(=O)(CCC1CCOCC1)NC(c1cccnc1)C1CC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0615a,
CCS(=O)(=O)NC(c1cccnc1)c1cccc(OC)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0615a,
CCS(=O)(=O)NC(c1cccnc1)c1cccc(OC)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,kntiwork_primer_thumb_site_2_pure,d0174a,d0615a,
CC(C)(CO)NC(=O)c1csc(-c2ccsc2)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0376a/d0376a.pdb,kntiwork_primer_thumb_site_2_pure,d0248a,d0376a,
CC(C)(CO)NC(=O)c1cscc1OCc1ccccc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0248a/d0248a.pdb,kntiwork_primer_thumb_site_2_pure,d0248a,d0376a,
CC(C)(CO)NC(=O)c1cscc1OCc1ccccc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0376a/d0376a.pdb,kntiwork_primer_thumb_site_2_pure,d0248a,d0376a,
