smiles,hit0,hit1
[H]OC([H])([H])[C@@]([H])(C([H])([H])[H])[C@](c1nc([H])c(Cl)c([H])n1)(C([H])([H])[H])C([H])([H])c1[nH]nc([H])c1[H],z0207a,z0481b
[H]OC(O)(O[H])[C@]([H])(N(C1NC([H])C(Cl)C([H])N1C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],z0207a,z0625b
[H]OC([H])([H])[C@]1([H])N(C([H])([H])[H])C2NC([H])C(Cl)C([H])N2C([H])([H])[C@@]1([H])O[H],z0207a,z0767a
[H]c1nc(N(C([H])([H])[H])[C@]([H])(C([H])([H])[H])C([H])([H])OC2=S([H])C([H])([H])C([H])([H])C([H])([H])N2[H])nc([H])c1Cl,z0207a,z0892b
[H]O[C@@]([H])(N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H])[C@]([H])(N(c1nc([H])c(Cl)c([H])n1)C([H])([H])[H])C([H])([H])[H],z0207a,z0898a
[H]OC([H])([H])[C@@]([H])(C([H])([H])[H])[C@]1([H])C([H])([H])N(C([H])([H])[H])N([H])[C@]12N([H])C([H])([H])[C@@]([H])(Cl)[C@]([H])(F)N2[H],z0207a,z0927a
[H]OC([H])([H])N([H])C([H])([H])[C@@]1([H])N([H])[C@]2(N([H])C([H])([H])C1([H])[H])N([H])C([H])([H])[C@@]([H])(Cl)C([H])([H])N2[H],z0207a,z0968a
[H]OC([H])([H])[C@]([H])(C1:O:C2C([H])C(Cl)C([H])N[C@@H]2C(N([H])S(=O)(=O)C([H])([H])[H]):C:1[H])C([H])([H])[H],z0207a,z0991b
[H]C1C([H])[C@@H]2C([H])C(N([H])C(=O)C([H])([H])[H])C([H])[C@H](C([H])([H])C(=O)N3C([H])([H])C(=O)N([H])C([H])([H])C3([H])[H])[C@H]2C1[H],z0397a,z0136b
[H]c1c([H])c([H])c(OC([H])([H])[C@]([H])(N=O)N2C([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])C2([H])[H])c(F)c1[H],z0397a,z0186a
[H]c1c([H])c(O[C@]([H])(C(=O)N2C([H])([H])C(=O)N([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])[H])c([H])c([H])c1Cl,z0397a,z0207a
[H]c1n[nH]c(C([H])([H])c2c([H])c(F)c([H])c([H])c2OC([H])([H])C(=O)N2C([H])([H])C(=O)N([H])C([H])([H])C2([H])[H])c1[H],z0397a,z0481b
[H]OC([H])([H])C([H])([H])c1c([H])c(Br)c([H])c([H])c1OC([H])([H])C(=O)N1C([H])([H])C(=O)N([H])C([H])([H])C1([H])[H],z0397a,z0767a
[H]c1c([H])c([H])c(OC([H])([H])C(=O)N2C([H])([H])C(=O)N([H])C([H])([H])C2([H])[H])c(F)c1[H],z0397a,z0898a
[H]N1C(=O)N([H])[C@@]2(C1=O)C([H])([H])C([H])([H])C([H])([H])[C@]([H])(OC([H])([H])C(=O)N1C([H])([H])C(=O)N([H])C([H])([H])C1([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[H],z0397a,z0903c
[H]c1c([H])c(F)c(C([H])([H])[H])c(OC([H])([H])C(=O)N2C([H])([H])C(=O)N([H])C([H])([H])C2([H])[H])c1[H],z0397a,z0927a
[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C1=C(C2([H])[H])C([H])([H])[C@@]([H])(C(=O)N2C([H])([H])C(=O)N([H])C([H])([H])C2([H])[H])C([H])([H])N1[H],z0397a,z0968a
[H]C1C([H])C([H])[C@@H]2[C@H](C1[H])C([H])C(OC([H])([H])C(=O)N1C([H])([H])C(=O)N([H])C([H])([H])C1([H])[H])[C@H]2N([H])S(=O)(=O)C([H])([H])[H],z0397a,z0991b
[H]c1n[nH]c([C@]([H])(C(=O)C([H])([H])[H])c2c([H])c([H])c([H])c3c([H])c([H])c([H])c(F)c23)c1[H],z0481b,z0136b
[H]c1[nH]nc(C([H])([H])[C@H]2C([H])[C@@H](OC([H])([H])[H])C([H])C([H])[C@H]3C([H])C([H])C([H])C([H])C3[C@H]2C([H])([H])N([H])[H])c1[H],z0481b,z0184a
[H]c1n[nH]c(C([H])([H])N([H])c2c(F)c([H])c([H])c([H])c2C(=O)N2C([H])([H])C([H])([H])N([H])[C@]([H])(C([H])([H])[H])C2([H])[H])c1[H],z0481b,z0186a
[H]OC([H])([H])[C@]([H])(C([H])([H])[H])[C@](c1c([H])c([H])c([H])c(Cl)c1F)(C([H])([H])[H])C([H])([H])c1n[nH]c([H])c1[H],z0481b,z0207a
[H]c1n[nH]c(C([H])([H])N([H])c2c(F)c([H])c([H])c([H])c2OC([H])([H])C(=O)N2C([H])([H])C(=O)N([H])C([H])([H])C2([H])[H])c1[H],z0481b,z0397a
[H]c1n[nH]c(C([H])([H])N([H])c2c(F)c([H])c([H])c([H])c2C([H])([H])S(=O)(=O)N([H])[H])c1[H],z0481b,z0625b
[H]OC([H])([H])C([H])([H])N1c2c([H])c([H])c([H])c([H])c2OC([H])([H])[C@@]12N([H])N([H])C([H])([H])C2([H])[H],z0481b,z0767a
[H]c1n[nH]c(C([H])([H])N([H])c2c(F)c([H])c([H])c([H])c2N([H])C2=NC([H])([H])C([H])([H])C([H])([H])S2)c1[H],z0481b,z0892b
[H]c1n[nH]c(C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(C(=O)N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])F)c1[H],z0481b,z0898a
[H]O[C@]1([H])C2=C(N([H])N1C([H])([H])[H])[C@@]([H])(OF)C([H])([H])C([H])([H])C2([H])[H],z0481b,z0927a
[H]O[C@]1([H])C([H])([H])N([H])C2=C(N([H])C1([H])[H])[C@@]([H])(F)C([H])([H])C([H])([H])C2([H])[H],z0481b,z0968a
[H]c1n[nH]c([C@@]([H])([C@@H]2C([H])C([H])O[C@@H]3C([H])C([H])C([H])C(F)[C@@H]32)S(=O)(=O)C([H])([H])[H])c1[H],z0481b,z0991b
[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c2c1[C@]([H])(F)C([H])([H])C2([H])[H],z0625b,z0136b
[H]N([H])O[C@]1(O)C([H])([H])C([H])([H])[C@]([H])(C([H])([H])S(=O)(=O)N([H])C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C1([H])[H],z0625b,z0184a
[H]c1c([H])c(C([H])([H])S(=O)(=O)C(=O)N2C([H])([H])C([H])([H])N([H])[C@]([H])(C([H])([H])[H])C2([H])[H])c(C([H])([H])[H])c([H])c1F,z0625b,z0186a
[H]c1c(F)c([H])c(C([H])([H])[H])c([C@]2([H])C([H])([H])C([H])([H])OS2(=O)=O)c1C([H])([H])[H],z0625b,z0207a
[H]c1c(F)c([H])c(C([H])([H])[H])c2c1OC([H])([H])[C@@H](N1C([H])([H])C(=O)N([H])C([H])([H])C1([H])[H])C2([H])[H],z0625b,z0397a
[H]c1n[nH]c(C([H])([H])c2c([H])c(F)c([H])c([H])c2C([H])([H])S(=O)(=O)N([H])[H])c1[H],z0625b,z0481b
[H]ON=[S@@](=O)(N([H])[H])C([H])([H])c1c([H])c([H])c(F)c([H])c1C([H])([H])[H],z0625b,z0767a
[H]c1c([H])c(C([H])([H])S(=O)(=O)N([H])C2=S([H])C([H])([H])C([H])([H])C([H])([H])N2[H])c(C([H])([H])[H])c([H])c1OC([H])([H])[H],z0625b,z0892b
[H]c1c([H])c(C([H])[H])c(C([H])([H])[H])c([H])c1F,z0625b,z0898a
[H]C1N([H])C(=O)N([H])[C@]12C([H])([H])[C@@]([H])(F)C([H])([H])C([H])([H])[C@@]2([H])[C@@]([H])(C([H])([H])[H])S(=O)(=O)N([H])[H],z0625b,z0903c
[H]Oc1c([H])c(N(F)C([H])([H])F)c([H])c(C([H])([H])[H])c1[C@@]([H])(N([H])C([H])([H])[H])S(=O)(=O)N([H])[H],z0625b,z0927a
[H]O[C@@]1([H])C([H])([H])C2=C(N([H])C1([H])[H])C([H])([H])C1(C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[C@]2([H])C([H])([H])[H],z0625b,z0968a
[H]c1nc(C([H])([H])N=O)c2c([H])c([H])n([H])c2c1Br,z0767a,z0136b
[H]OC([H])([H])C([H])([H])c1c([H])c(Br)c(C([H])([H])[H])n1C(=O)N1C([H])([H])C([H])([H])N([H])[C@]([H])(C([H])([H])[H])C1([H])[H],z0767a,z0186a
[H]OC([H])([H])[C@]1([H])N(C([H])([H])[H])n2c([H])c(Br)c([H])c2C([H])([H])[C@@]1([H])O[H],z0767a,z0207a
[H]OC([H])([H])C([H])([H])c1c([H])c(Br)c([H])n1OC([H])([H])C(=O)N1C([H])([H])C(=O)N([H])C([H])([H])C1([H])[H],z0767a,z0397a
[H]OC1=[S@@](=O)(N([H])[H])C([H])([H])n2c([H])c(Br)c([H])c2C1([H])[H],z0767a,z0625b
