smiles,hit0,hit1
[H]C1:N(C([H])([H])N([H])C([H])([H])[H]):C([H]):C([H]):C([H]):C1C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])S(=O)(=O)N([H])[H],z0165a,z0107a
[H]C1:N(C([H])([H])C([H])([H])N([H])C([H])([H])N([H])C([H])([H])[H]):C([H]):C([H]):C([H]):C1C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])S(=O)(=O)N([H])[H],z0165a,z0111a
[H]C1:N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H]):C([H]):C([H]):C([H]):C1C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])S(=O)(=O)N([H])[H],z0165a,z0136a
[H]C1C([H])[C@@H](C([H])([H])C([H])([H])C([H])([H])[H])[C@@H]2[C@@H]1CN([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])N2[H],z0165a,z0200a
[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N1:C([H])C(C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])S(=O)(=O)N([H])[H]):C([H]):C([H]):C:1[H],z0165a,z0211a
[H]C1C([H])[C@@H]2[C@H](O[C@@]3([H])N(N([H])N([H])C3([H])[H])C([H])([H])C([H])([H])[C@]2([H])F)C1S(=O)(=O)N([H])[H],z0165a,z0215a
[H]OC([H])([H])N1c2c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c2[C@]([H])(N([H])C(=O)C([H])([H])N([H])[H])[C@]([H])(C([H])([H])[H])C1([H])[H],z0165a,z0309a
[H]C1=C([H])N2:C(C([H])=C1N([H])[C@]([H])(OC(=O)C([H])([H])[H])[C@@]([H])(N([H])[H])C([H])([H])[H])C(C([H])([H])C([H])([H])C([H])([H])[H]):C([H]):C([H]):C:2[H],z0165a,z0364a
[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c2c1C([H])([H])C([H])([H])C([H])([H])[C@@]2(N([H])C(=O)C([H])([H])C([H])([H])[H])C([H])([H])[H],z0165a,z0384a
[H]C1:N(C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H]):C([H]):C([H]):C([H]):C1C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])S(=O)(=O)N([H])[H],z0165a,z0411a
[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])C(=O)[C@]1(C([H])([H])[H])c2c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c2C([H])([H])[C@@]([H])(Br)C1([H])[H],z0165a,z0480a
[H]c1c([H])c([S@@](=O)(=NC([H])([H])C([H])([H])N([H])C(=O)N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])N([H])[H])c(F)c2c1C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])[H],z0165a,z0483a
[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c2c1C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])[C@]2(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]1(C([H])([H])[H])C(=O)N([H])C(=O)N1[H],z0165a,z0519a
[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c2c1C([H])([H])C([H])([H])C([H])([H])N2N1C([H])NC2N[C@@H](C([H])([H])[H])C([H])C(N([H])C([H])([H])C([H])([H])[H])N21,z0165a,z0521a
[H]c1c([H])c(S(=O)(=O)N([H])[H])c2c3c1C([H])([H])C([H])([H])C([H])([H])N3OC([H])([H])C([H])([H])N2C(=O)C([H])([H])[H],z0165a,z0581a
[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c2c1C([H])([H])C([H])([H])C([H])([H])N2C(=O)OC([H])([H])C([H])([H])[H],z0165a,z0628a
[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c2c1[C@]([H])(N([H])C([H])([H])[C@]1([H])C([H])([H])N([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])N2C([H])([H])[H],z0165a,z0637a
[H]OC([H])([H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]12c1c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c1C([H])([H])C([H])([H])C2([H])[H],z0165a,z0653a
[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c2c1C([H])([H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])S(=O)(=O)C([H])([H])[H],z0165a,z0764a
[H]N1C(=O)[C@]2(C3=C(C([H])([H])C([H])([H])C([H])([H])N3C([H])([H])[H])[C@]([H])(Cl)C([H])([H])[C@]2([H])S(=O)(=O)N([H])[H])[C@@]([H])(C([H])([H])[H])C1=O,z0165a,z0900b
[H]OC(OC([H])([H])[C@@H]1C([H])c2c([H])c([H])c([H])c([C@@]([H])(O[H])C([H])([H])C([H])([H])S(=O)(=O)N([H])[H])c2C1[H])(C([H])([H])[H])C([H])([H])[H],z0165a,z0922a
[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c2c1C([H])([H])C([H])([H])C([H])([H])[C@]21N([H])N([H])[C@@]([H])(C([H])([H])[H])C1([H])[H],z0165a,z0936a
[H]N1OC([H])([H])C([H])([H])[C@]2([H])N([H])C([H])([H])C[C@]2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],z0165a,z0991a
