target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C133757,1,,,,CC1(C)CCc2cccc(N)c2O1,CC(O)C(N)CO,CC(O)C(CO)NC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133760,1,,,,CC1(C)CCc2cccc(N)c2O1,COC(C)C(=N)N,COC(C)C(=N)NC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133764,1,,,,CC1(C)CCc2cccc(N)c2O1,COC(C)(C)CN,COC(C)(C)CNC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C134069,1,,,,NCC(O)C(=O)O,CC1(C)CC(O)c2cccc(N)c2O1,CC1(C)CC(O)c2cccc(NC(=O)NCC(O)C(=O)O)c2O1,Formation_of_urea_from_two_amines,,
C134070,1,,,,CC(O)C(=O)NN,CC1(C)CC(O)c2cccc(N)c2O1,CC(O)C(=O)NNC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C134077,1,,,,CNCC(C)(C)O,CC1(C)CC(O)c2cccc(N)c2O1,CN(CC(C)(C)O)C(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C134137,1,,,,COC(C)(C)CN,CC1(C)CC(O)c2cccc(N)c2O1,COC(C)(C)CNC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C134138,1,,,,COCC(O)CN,CC1(C)CC(O)c2cccc(N)c2O1,COCC(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C134140,1,,,,CCCC(O)CN,CC1(C)CC(O)c2cccc(N)c2O1,CCCC(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C134142,1,,,,CCC(N)C(C)O,CC1(C)CC(O)c2cccc(N)c2O1,CCC(NC(=O)Nc1cccc2c1OC(C)(C)CC2O)C(C)O,Formation_of_urea_from_two_amines,,
C134144,1,,,,CC(O)C(N)CO,CC1(C)CC(O)c2cccc(N)c2O1,CC(O)C(CO)NC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C134148,1,,,,COC(C)C(=N)N,CC1(C)CC(O)c2cccc(N)c2O1,COC(C)C(=N)NC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C134235,1,,,,CCC(O)C(=N)N,CC1(C)CC(O)c2cccc(N)c2O1,CCC(O)C(=N)NC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C134237,1,,,,C=CC(C)(O)CN,CC1(C)CC(O)c2cccc(N)c2O1,C=CC(C)(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C134381,1,,,,CC(O)CN(C)N,CC1(C)CC(O)c2cccc(N)c2O1,CC(O)CN(C)NC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C134382,1,,,,CC(N)C(O)CO,CC1(C)CC(O)c2cccc(N)c2O1,CC(NC(=O)Nc1cccc2c1OC(C)(C)CC2O)C(O)CO,Formation_of_urea_from_two_amines,,
C134385,1,,,,COC(C)C(N)=S,CC1(C)CC(O)c2cccc(N)c2O1,COC(C)C(=S)NC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C134387,1,,,,CC(C)(O)C(=N)N,CC1(C)CC(O)c2cccc(N)c2O1,CC1(C)CC(O)c2cccc(NC(=O)NC(=N)C(C)(C)O)c2O1,Formation_of_urea_from_two_amines,,
C134388,1,,,,CCC(C)(O)CN,CC1(C)CC(O)c2cccc(N)c2O1,CCC(C)(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C134391,1,,,,CSCC(O)CN,CC1(C)CC(O)c2cccc(N)c2O1,CSCC(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C134509,1,,,,CC1(C)CCc2cccc(N)c2O1,CCNCC(C)O,CCN(CC(C)O)C(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C134510,1,,,,CC1(C)CCc2cccc(N)c2O1,CCC(O)C(C)N,CCC(O)C(C)NC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C134675,1,,,,CCNCC(C)O,CC1(C)CC(O)c2cccc(N)c2O1,CCN(CC(C)O)C(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C134676,1,,,,CCC(O)C(C)N,CC1(C)CC(O)c2cccc(N)c2O1,CCC(O)C(C)NC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C135470,1,,,,O=C(O)Cc1ccn(C2CCCC2)n1,CC(N)CN1CCCC1=O,CC(CN1CCCC1=O)NC(=O)Cc1ccn(C2CCCC2)n1,Amidation,,
C135473,1,,,,O=C(O)Cc1ccn(C2CCCC2)n1,CNCCN1CCCC1=O,CN(CCN1CCCC1=O)C(=O)Cc1ccn(C2CCCC2)n1,Amidation,,
C135479,1,,,,O=C(O)Cc1ccn(C2CCCC2)n1,NCCN1C(=O)CCC1=O,O=C(Cc1ccn(C2CCCC2)n1)NCCN1C(=O)CCC1=O,Amidation,,
C135546,1,,,,O=C(O)Cc1ccn(C2CCCC2)n1,NC(CO)CN1CCCC1=O,O=C(Cc1ccn(C2CCCC2)n1)NC(CO)CN1CCCC1=O,Amidation,,
C135548,1,,,,O=C(O)Cc1ccn(C2CCCC2)n1,COC1CC(=O)N(CCN)C1,COC1CC(=O)N(CCNC(=O)Cc2ccn(C3CCCC3)n2)C1,Amidation,,
C135579,1,,,,O=C(O)Cc1ccn(C2CCCC2)n1,NNC(=O)CN1CCCC1=O,O=C(Cc1ccn(C2CCCC2)n1)NNC(=O)CN1CCCC1=O,Amidation,,
C138510,1,,,,CN1CCCc2cc(C=CC(=O)O)ccc21,NC(CO)CN1CCCC1=O,CN1CCCc2cc(C=CC(=O)NC(CO)CN3CCCC3=O)ccc21,Amidation,,
C138695,1,,,,CN1CCCc2cc(C=CC(=O)O)ccc21,O=C1CCCN1CC1CCCN1,CN1CCCc2cc(C=CC(=O)N3CCCC3CN3CCCC3=O)ccc21,Amidation,,
C138738,1,,,,CN1CCCc2cc(C=CC(=O)O)ccc21,CC(O)C(N)CN1CCCC1=O,CC(O)C(CN1CCCC1=O)NC(=O)C=Cc1ccc2c(c1)CCCN2C,Amidation,,
C144473,1,,,,Cc1nc(-c2ccccn2)sc1C(=O)O,CC(C)CC(N)C(F)(F)F,Cc1nc(-c2ccccn2)sc1C(=O)NC(CC(C)C)C(F)(F)F,Amidation,,
C144592,1,,,,O=C(O)c1cnc(-c2ccccn2)s1,FC(F)(F)C12CCC(CN1)C2,O=C(c1cnc(-c2ccccn2)s1)N1CC2CCC1(C(F)(F)F)C2,Amidation,,
C144607,1,,,,O=C(O)c1cnc(-c2ccccn2)s1,CC1(C)CC1C(N)C(F)(F)F,CC1(C)CC1C(NC(=O)c1cnc(-c2ccccn2)s1)C(F)(F)F,Amidation,,
C144620,1,,,,O=C(O)c1cnc(-c2ccccn2)s1,CC(C)(C)CC(N)C(F)(F)F,CC(C)(C)CC(NC(=O)c1cnc(-c2ccccn2)s1)C(F)(F)F,Amidation,,
