smiles,template,compound_set,hit1,hit2
CCS(=O)(=O)NCc1ccc2c(c1CN(C)S(N)(=O)=O)OCO2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,fstein_thumb_site_2,d0174a,d0693a
CCS(=O)(=O)NCc1ccc2c(c1CN(C)S(N)(=O)=O)OCO2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0693a/d0693a.pdb,fstein_thumb_site_2,d0174a,d0693a
O=C(c1c(F)cccc1F)N1CCCC(NOc2cn[nH]c2)CC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0176a/d0176a.pdb,fstein_thumb_site_2,d0176a,d0283a
O=C(c1c(F)cccc1F)N1CCC2CCOC2C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0176a/d0176a.pdb,fstein_thumb_site_2,d0176a,d0693a
O=C(c1c(F)cccc1F)N1CCC2CCOC2C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0693a/d0693a.pdb,fstein_thumb_site_2,d0176a,d0693a
O=C(c1ccc(S(=O)(=O)N2CCNCC2)cc1)c1ccc2c(c1)OCO2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0644a/d0644a.pdb,fstein_thumb_site_2,d0210a,d0644a
CC(=O)Nc1ccc(Cc2cccc(C(=O)NC(C)(C)CO)c2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0248a/d0248a.pdb,fstein_thumb_site_2,d0174a,d0248a
CC(C)(CO)NC(=O)c1cccc(CCNc2ccccc2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0248a/d0248a.pdb,fstein_thumb_site_2,d0248a,d0771a
CC(C)(CO)NC(=O)c1cccc(CCNc2ccccc2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0771a/d0771a.pdb,fstein_thumb_site_2,d0248a,d0771a
CNS(=O)(=O)Cc1ccc(Nc2ccc(NC(C)=O)cc2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0176a/d0176a.pdb,fstein_thumb_site_2,d0176a,d0249a
CNS(=O)(=O)Cc1ccc(Nc2ccc(NC(C)=O)cc2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0249a/d0249a_hippo.pdb,fstein_thumb_site_2,d0176a,d0249a
COc1ccc(C(=O)c2ccc(NC(C)=O)cc2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0249a/d0249a_hippo.pdb,fstein_thumb_site_2,d0249a,d0503a
COc1ccc(C(=O)c2ccc(NC(C)=O)cc2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0503a/d0503a.pdb,fstein_thumb_site_2,d0249a,d0503a
CC(=O)C(c1ccc(Nc2ccccc2)c(C)c1)=[SH](N)=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0249a/d0249a_hippo.pdb,fstein_thumb_site_2,d0249a,d0566a
CC(=O)C(c1ccc(Nc2ccccc2)c(C)c1)=[SH](N)=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0566a/d0566a.pdb,fstein_thumb_site_2,d0249a,d0566a
CC(=O)Nc1ccc(CC2CCC3(CCC(C(C)N)CC3)CC2O)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0249a/d0249a_hippo.pdb,fstein_thumb_site_2,d0249a,d0644a
CC(=O)Nc1ccc(N(N)c2ccccc2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0249a/d0249a_hippo.pdb,fstein_thumb_site_2,d0249a,d0693a
CC(=O)Nc1ccc(Nc2ccc(NOc3cc4c(cc3Br)C(=O)OC(C)(C)O4)cc2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0249a/d0249a_hippo.pdb,fstein_thumb_site_2,d0249a,d0759a
Cc1nn(C)c(C)c1NS(=O)(=Nn1cnc2ccccc21)c1cccc(F)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0253a/d0253a.pdb,fstein_thumb_site_2,d0249a,d0253a
Cc1c2c(nn1C)C(N1CCOCC1)CC(C1CCCCC1)=S(=O)(c1cccc(F)c1)N2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0253a/d0253a.pdb,fstein_thumb_site_2,d0253a,d0283a
CC1CC(Nc2ccc(F)c[n+]2[O-])CCO1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0210a/d0210a.pdb,fstein_thumb_site_2,d0210a,d0279a
CC1CC(Nc2ccc(F)c[n+]2[O-])CCO1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,fstein_thumb_site_2,d0210a,d0279a
COC1CC([N+]([O-])(O)c2ccc(F)cn2)CCO1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0249a/d0249a_hippo.pdb,fstein_thumb_site_2,d0249a,d0279a
COC1CC([N+]([O-])(O)c2ccc(F)cn2)CCO1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,fstein_thumb_site_2,d0249a,d0279a
NN(c1ccc(F)cn1)C1CCOCC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,fstein_thumb_site_2,d0279a,d0644a
NN(c1ccc(F)cn1)C1CCOCC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0644a/d0644a.pdb,fstein_thumb_site_2,d0279a,d0644a
Fc1ccc(NC2CCOC3(CCCCC3)C2)nc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,fstein_thumb_site_2,d0279a,d0693a
Fc1ccc(NC2CCOC3(CCCCC3)C2)nc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0693a/d0693a.pdb,fstein_thumb_site_2,d0279a,d0693a
CNS(=O)(=O)CC1CCC(N(C)CC2CCOC2)C(Cl)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0253a/d0253a.pdb,fstein_thumb_site_2,d0253a,d0283a
CNS(=O)(=O)CC1CCC(N(C)CC2CCOC2)C(Cl)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0283a/d0283a.pdb,fstein_thumb_site_2,d0253a,d0283a
CNCC1(Cc2ccc(C#N)cc2)CCC(CS(=O)(=O)NC)CC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0379a/d0379a.pdb,fstein_thumb_site_2,d0283a,d0379a
CNS(=O)(=O)Cc1cc(=O)n(Cc2cc(C)no2)nc1C,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153b/d0153b_hippo.pdb,fstein_thumb_site_2,d0153b,d0379a
CNS(=O)(=O)Cc1cc(=O)n(Cc2cc(C)no2)nc1C,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0379a/d0379a.pdb,fstein_thumb_site_2,d0153b,d0379a
CCc1ccc(=O)n(Cc2cc(C)no2)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0283a/d0283a.pdb,fstein_thumb_site_2,d0283a,d0379a
