smiles,template,compound_set,hit1,hit2,hit3
CC(O)CNC(=O)Nc1ccn(C2CCC2)n1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
CCn1ccc(NC(=O)NCC(C)O)n1,z0211a,knitwork_green_site_pure,z0211a,z0215a,
CCn1ccc(NC(=O)NCC(C)O)n1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
CCn1cc(NC(=O)NCC(C)O)cn1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
CC(C)Cn1ccc(NC(=O)NCC(C)O)n1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
O=C(NCC(O)Cn1ccnn1)Nc1ccccn1,z0637a,knitwork_green_site_pure,z0211a,z0637a,
CC(C)Cc1ccnc(NC(=O)NCC(C)O)c1,z0211a,knitwork_green_site_pure,z0211a,z0215a,
CC(C)Cc1ccnc(NC(=O)NCC(C)O)c1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
CCCCc1ccc(NC(=O)NCC(C)O)c(C)n1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
c1ccc(N2CCOc3ccccc3C2)nc1,z0581a,knitwork_green_site_pure,d0472b,z0581a,
CC(C)(C)c1cnc(N2CCOc3ccccc3C2)c(C#N)c1,z0581a,knitwork_green_site_pure,d0472b,z0581a,
COc1cnc(F)c(NC(=O)NCC(C)O)c1,z0211a,knitwork_green_site_pure,z0211a,z0215a,
Fc1cccnc1N1CCOc2ccccc2C1,z0581a,knitwork_green_site_pure,d0472b,z0581a,
COc1cnc(F)c(NC(=O)NCC(C)O)c1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
Fc1ccc(N2CCOc3ccccc3C2)nc1,z0581a,knitwork_green_site_pure,d0472b,z0581a,
Cc1cc(NC(=O)NCC(C)O)ncc1C#N,z0211a,knitwork_green_site_pure,z0211a,z0221a,
CC(O)CNC(=O)Nc1ncc(C#N)cc1Br,z0211a,knitwork_green_site_pure,z0211a,z0221a,
Cc1ccc(C#N)c(NC(=O)NCC(C)O)n1,z0211a,knitwork_green_site_pure,z0211a,z0221a,
CC(O)CNC(=O)Nc1cccnc1Br,z0211a,knitwork_green_site_pure,z0211a,z0215a,
CC(O)CNC(=O)Nc1cccnc1Br,z0215a,knitwork_green_site_pure,z0211a,z0215a,
CC(O)CNC(=O)Nc1cc(F)cnc1Br,z0211a,knitwork_green_site_pure,z0211a,z0215a,
COc1ccc(NC(=O)NCC(C)O)nc1,z0211a,knitwork_green_site_pure,z0211a,z0221a,
CC(O)CNC(=O)Nc1cc(F)cnc1Br,z0215a,knitwork_green_site_pure,z0211a,z0215a,
CC(O)CNC(=O)Nc1ccncc1F,z0211a,knitwork_green_site_pure,z0211a,z0215a,
CC(O)CNC(=O)Nc1ccncc1F,z0215a,knitwork_green_site_pure,z0211a,z0215a,
CC(O)CNC(=O)Nc1cccnc1Br,z0211a,knitwork_green_site_pure,z0211a,z0221a,
CC(O)CNC(=O)Nc1cc(F)cnc1Br,z0211a,knitwork_green_site_pure,z0211a,z0221a,
COc1ccc(NC(=O)NCC(C)O)c(Br)n1,z0211a,knitwork_green_site_pure,z0211a,z0221a,
c1cncc(Nc2ccc3ccccc3n2)c1,z1040a,knitwork_green_site_pure,d0472b,z1040a,
COc1ccc(F)c(NC(=O)NCC(C)O)n1,z0211a,knitwork_green_site_pure,z0211a,z0215a,
CCc1ncc(F)cc1NC(=O)NCC(C)O,z0215a,knitwork_green_site_pure,z0211a,z0215a,
Nc1nc2ccccc2cc1-c1nc(-c2cccnc2)cs1,z1040a,knitwork_green_site_pure,d0472b,z1040a,
CC(O)CNC(=O)Nc1cccnc1Cl,z0211a,knitwork_green_site_pure,z0211a,z0215a,
CC(O)CNC(=O)Nc1cccnc1Cl,z0215a,knitwork_green_site_pure,z0211a,z0215a,
CC(O)CNC(=O)Nc1cnc(F)c(F)c1,z0211a,knitwork_green_site_pure,z0211a,z0221a,
CC(O)CNC(=O)Nc1cccnc1Cl,z0211a,knitwork_green_site_pure,z0211a,z0221a,
Cc1c(NC(=O)NCC(C)O)ccnc1Cl,z0211a,knitwork_green_site_pure,z0211a,z0221a,
Cc1cnc(Cl)c(NC(=O)NCC(C)O)c1,z0211a,knitwork_green_site_pure,z0211a,z0221a,
Cc1cc(NC(=O)NCC(C)O)cc(Cl)n1,z0211a,knitwork_green_site_pure,z0211a,z0215a,
COc1cc(CNS(=O)(=O)c2cccnc2)c2ccccc2n1,z1040a,knitwork_green_site_pure,d0472b,z1040a,
CC(O)CNC(=O)Nc1cnc(Cl)c(Br)c1,z0211a,knitwork_green_site_pure,z0211a,z0221a,
CC(O)CNC(=O)Nc1ccnc(OCC(F)(F)C(F)F)c1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
COC(=O)c1nc(NC(=O)NCC(C)O)ccc1C,z0211a,knitwork_green_site_pure,z0211a,z0221a,
CCC(C)Oc1cccc(NC(=O)NCC(C)O)n1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
Cc1cnccc1NC(=O)NCC(C)O,z0215a,knitwork_green_site_pure,z0211a,z0215a,
Cc1ccc(NC(=O)NCC(C)O)cn1,z0211a,knitwork_green_site_pure,z0211a,z0221a,
Cc1nc(C(F)(F)F)ccc1NC(=O)NCC(C)O,z0211a,knitwork_green_site_pure,z0211a,z0221a,
COC(=O)c1ccc(NC(=O)NCC(C)O)c(C)n1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
CC(O)CNC(=O)Nc1cncc(Cl)c1,z0211a,knitwork_green_site_pure,z0211a,z0215a,
O=C(O)CC(c1cc[nH]c1)c1coc2ccccc12,3vws-b,knitwork_green_site_pure,d0472b,3vws-b,
OC(c1ccc[nH]1)c1coc2ccccc12,3vws-b,knitwork_green_site_pure,d0472b,3vws-b,
NC(c1ccc[nH]1)c1coc2ccccc12,3vws-b,knitwork_green_site_pure,d0472b,3vws-b,
CC(O)CNC(=O)Nc1cccc2c1CN(c1ccccn1)C2,z0215a,knitwork_green_site_pure,z0211a,z0215a,
N#CC(c1cc[nH]c1)c1coc2ccccc12,3vws-b,knitwork_green_site_pure,d0472b,3vws-b,
c1cc2cc(-c3cscn3)ccc2cn1,z0496a,knitwork_green_site_pure,z0111a,z0496a,
Cn1ccc(CC(N)c2coc3ccccc23)c1,3vws-b,knitwork_green_site_pure,d0472b,3vws-b,
