smiles,template,compound_set,hit1,hit2,hit3
CCCn1ccc2ccc(NC(=O)NCC(C)O)cc21,z0136a,feb_elabs,z0136a,z0211a,
CC(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2,z0211a,feb_elabs,z0211a,z0991a,
CCOC(=O)c1cnccc1NCC(C)(O)COC,z0628a,feb_elabs,z0628a,z0637a,
CC(CN1CCCC1=O)NC(=O)c1cccc2ncccc12,z1018a,feb_elabs,z1018a,z1040a,
COc1ccc2cccnc2c1CNC(=O)CCN1CCCC1=O,z1018a,feb_elabs,z1018a,z1040a,
O=C1CCCN1C1CCN(c2c(Br)cnc3ccccc23)C1,z1018a,feb_elabs,z1018a,z1040a,
O=C(NCCN1CCCC1=O)c1cc(O)nc2ccccc12,z1018a,feb_elabs,z1018a,z1040a,
O=C(OCCN1CCCc2ccccc21)c1ncsc1Br,z0165a,feb_elabs,z0165a,z0628a,
CC(CN1CCCC1=O)NC(=O)C=Cc1ccc2c(c1)CCCN2C,z0364a,feb_elabs,z0364a,z1018a,
CC(NC(=O)Nc1cccc2[nH]ccc12)C(O)C(F)F,z0041a,feb_elabs,z0041a,z0211a,
O=C(CCc1csc2ccccc12)NC1CCNC2(CC2)C1,z0384a,feb_elabs,z0384a,3vws-b,
O=C(Cc1cc2ccccc2o1)NCc1nsc2ccccc12,z0111a,feb_elabs,z0111a,3vws-b,
O=C(Cc1noc2ccccc12)NCCc1cc2ccccc2o1,z0111a,feb_elabs,z0111a,3vws-b,
c1cnc2c(c1)CCCC2NCc1cccnc1N1CCCC1,d0472b,feb_elabs,d0472b,z0200a,
CCOC(=O)C1CCCc2ccccc21,z0165a,feb_elabs,z0165a,z0628a,
CCOC(=O)C1c2occc2CCC12CC2,z0165a,feb_elabs,z0165a,z0628a,
O=C1CCCCN1CCCNc1ccnc2ccc([N+](=O)[O-])cc12,z1018a,feb_elabs,z1018a,z1040a,
CC(CN1CCCC1=O)NC(=O)Cc1n[nH]c2c1CCCC2,z0936a,feb_elabs,z0936a,z1018a,
O=C(Nc1cccc2c1OCCC2)NC(CCO)C(F)(F)F,z0211a,feb_elabs,z0211a,z0991a,
Cc1oc2ccccc2c1C(=O)OCc1ccn2ncnc2c1,z0521a,feb_elabs,z0521a,3vws-b,
c1nc2ccc(NCc3ccc4occc4c3)cn2n1,z0521a,feb_elabs,z0521a,3vws-a,
COc1cc(C)cnc1-n1ccc(C#CCO)c1,d0472a,feb_elabs,d0472a,5hmz-a,
c1ccn(-c2cc(-c3cn[nH]c3-c3ccncc3)ccn2)c1,d0160a,feb_elabs,d0160a,d0472a,z0875c
c1cncc(Cn2ccc(-c3cccnc3-n3cccc3)c2)c1,d0191a,feb_elabs,d0191a,d0472a,
