,compound,smiles,quote_id,quote_entry,quote_price_USD,quote_amount_mg,quote_catalogue,JA curated YES,DF curated NO,AC curated INTERESTING,DF curated INTERESTING,Enamine_Order_1968912,AC curated YES,DF curated YES,JA curated MAYBE,JA curated INTERESTING,JA curated NO,LCD curated YES,LCD curated INTERESTING,#curated YES,#curated NO,#curated INTERESTING
310,28301,CCN1C=C(C=N1)NC(=O)CCCC2=CSC=3C=CC=CC23,909.0,Z1389535619,132.0,5.0,sRDB,,,,,,,,,,,True,,2,1,1
311,65168,CCOC(=O)C(C#N)=CN1CCCc2ccccc21,,,,,,,,,,,,,,,,True,,2,1,1
312,54938,[O-][N+](=O)C1=CC=C2N=CC=C(NCCCN3CCCCC3=O)C2=C1,914.0,Z2769730005,132.0,5.0,sRDB,,,,,,,,,,,True,,2,1,1
313,43304,CSCC[C@H](CO)NC(=O)C(=O)NC=1C=CC=C2NC=CC12,925.0,Z4915776383,132.0,5.0,sRDB,,,,,,,,,,,True,,2,1,1
314,52471,CC(CN1CCCC1=O)NC(=O)Cc1n[nH]c2c1CCCC2,,,,,,,,,,,,,,,,True,,2,1,1
315,65250,CC(C)(CS(=O)(=O)N1CCCC=2C=CC=CC21)C(F)F,948.0,Z3402390089,197.0,5.0,mRDB,,,,,,,,,,,True,,2,1,1
316,65264,N#CCS(=O)(=O)N1CCCC2=CC=CC=C21,883.0,Z871802530,132.0,5.0,sRDB,,,,,,,,,,,True,,2,1,1
317,30433,C1=CC=2N=C(C=CC2O1)CNC3(CC3)C=4C=CC=CN4,949.0,Z4482242894,197.0,5.0,mRDB,,,,,,,,,,,,True,0,0,1
318,46539,O=C(Nc1cccc2c1OCCC2)NC(CCO)C(F)(F)F,,,,,,,,,,,,,,,,True,,2,1,1
319,47051,CC=CCC(CO)NC(=O)C(=O)Nc1cccc2c1OCCC2,,,,,,,,,,,,,,,,,True,0,0,1
320,23289,CC(CC(=O)Nc1c[nH]nc1-c1nccs1)N1CCCCC1=O,,,,,,,,,,,,,,,,True,,2,1,1
321,60687,CC=1OC=2C=CC=CC2C1C(=O)OCC=3C=CN4N=CN=C4C3,946.0,Z9471938654,132.0,5.0,sRDB,,,,,,,,,,,True,,2,1,1
322,36233,FC=1C=CC=2CCCN(CC3=CN=CN3)C2C1,894.0,Z1631624196,132.0,5.0,sRDB,,,,,,,,,,,True,,2,1,1
323,29126,c1ccc(-c2nc(-c3ccc4ncnn4c3)n(C3CC3)n2)nc1,,,,,,,,,,,,,,,,,True,0,0,1
324,33380,CC(O)(CNC(=O)Nc1cccc2ccccc12)c1ccco1,,,,,,,,,,,,,,,,True,,2,1,1
325,30431,O=C(N[C@H]1CCN(C1)C=2C=CC=CN2)C=3C=CC4=NC=NN4C3,927.0,Z5388797418,132.0,5.0,sRDB,,,,,,,,,,,,True,0,0,1
326,34701,C[C@@H](O)CNC(=O)NC1=CC=CC=2C=CNC12,900.0,Z1866037017,132.0,5.0,sRDB,,,,,,,,,,,True,,2,1,1
327,50922,CC(O)(CNC(=O)Nc1cccc2cc[nH]c12)c1ccco1,,,,,,,,,,,,,,,,True,,2,1,1
328,36698,CCC(CC)(CO)CNC(=O)NC=1C=CC=2NCCCC2C1,911.0,Z2356456955,132.0,5.0,sRDB,,,,,,,,,,,,True,0,0,1
329,20299,O=C(NC=1C=CC=NC1C2CC2)C=3C=NNC3,916.0,Z2965525309,132.0,5.0,sRDB,,,,,,,,,,,True,,2,1,1
330,29852,c1ccc2c(-n3cccn3)nccc2c1,,,,,,,,,,,,,,,,True,,2,1,1
331,37157,COCC(C)(O)CNC(=O)Nc1ccc2c(c1)CCCN2,,,,,,,,,,,,,,,,True,,2,1,1
332,30341,C1=CSC(=N1)C=2N=CC=C3C=CC=CC23,882.0,Z1659902394,132.0,5.0,sRDB,,,,,,,,,,,True,,2,1,1
333,52455,CC(O)(CNC(=O)Nc1ccc2scnc2c1)C1CC1,,,,,,,,,,,,,,,,,True,0,0,1
334,29796,C1=NC(=CS1)C=2C=CC=3C=NC=CC3C2,898.0,Z2204882262,132.0,5.0,sRDB,,,,,,,,,,,True,True,2,1,2
335,29512,O=C(NC=1C=CC(Cl)=C2N=CC=CC12)C3=CN=CO3,887.0,Z1526959590,132.0,5.0,sRDB,,,,,,,,,,,,True,0,0,1
336,29888,O=C(NC=1C(Br)=CC=C2N=CC=CC12)C3=CSC=N3,931.0,Z7694465713,132.0,5.0,sRDB,,,,,,,,,,,,True,0,0,1
337,30047,O=C(NC=1C(Br)=CC=C2N=CC=CC12)C3=CN=CS3,932.0,Z7694466432,132.0,5.0,sRDB,,,,,,,,,,,,True,0,0,1
338,31409,O=C(NC=1C=CC(OC(F)F)=C2N=CC=CC12)C=3C=CC=CN3,889.0,Z775226296,132.0,5.0,sRDB,,,,,,,,,,,,True,0,0,1
339,59282,O=C1COc2c1cccc2-c1csc(C(F)(F)F)n1,,,,,,,,,,,,,,,,,True,0,0,1
340,60673,O=C1CCC(CCNC(=O)C2CC(=O)c3ccccc3O2)N1,,,,,,,,,,,,,,,,,True,0,0,1
341,60663,C1=CC=2C=C(C=CC2O1)CNC=3C=CC4=NC=NN4C3,947.0,Z9471938662,132.0,5.0,sRDB,,,,,,,,,,,True,,2,1,1
342,49938,C1=NC=2C(=CC=CC2O1)C3=CSC=N3,945.0,Z9471938651,132.0,5.0,sRDB,,,,,,,,,,,True,,2,1,1
